year,STATE,value,measure,state
2006,MASSACHUSETTS,29.48220346,REPUBLICAN,Massachusetts
2006,MICHIGAN,56.90997851,DEMOCRAT,Michigan
2006,MICHIGAN,0.714576331,LIBERTARIAN,Michigan
2006,MICHIGAN,41.25763,REPUBLICAN,Michigan
2006,MINNESOTA,37.93642737,REPUBLICAN,Minnesota
2006,MINNESOTA,58.056349,DEMOCRAT,Minnesota
2006,MISSISSIPPI,1.55863033,LIBERTARIAN,Mississippi
2006,MISSISSIPPI,63.57597791,REPUBLICAN,Mississippi
2006,MISSISSIPPI,34.86539176,DEMOCRAT,Mississippi
2006,MISSOURI,2.245380343,LIBERTARIAN,Missouri
2006,MISSOURI,47.3084518,REPUBLICAN,Missouri
2006,MISSOURI,49.57835692,DEMOCRAT,Missouri
2006,MONTANA,48.28550694,REPUBLICAN,Montana
2006,MONTANA,2.552736129,LIBERTARIAN,Montana
2006,MONTANA,49.16175693,DEMOCRAT,Montana
2006,NEBRASKA,36.11720771,REPUBLICAN,Nebraska
2006,NEBRASKA,63.88279229,DEMOCRAT,Nebraska
2006,NEVADA,0.904437563,LIBERTARIAN,Nevada
2006,NEVADA,55.35813599,REPUBLICAN,Nevada
2006,NEVADA,40.98995489,DEMOCRAT,Nevada
2006,NEW JERSEY,41.18541182,REPUBLICAN,New Jersey
2006,NEW JERSEY,57.20435802,DEMOCRAT,New Jersey
2006,NEW JERSEY,0.338324851,LIBERTARIAN,New Jersey
2006,NEW MEXICO,29.33058813,REPUBLICAN,New Mexico
2006,NEW MEXICO,70.6051383,DEMOCRAT,New Mexico
2006,NEW YORK,25.80295586,REPUBLICAN,New York
2006,NEW YORK,0.446663342,LIBERTARIAN,New York
2006,NEW YORK,57.41634316,DEMOCRAT,New York
2006,NORTH DAKOTA,29.52849389,REPUBLICAN,North Dakota
2006,NORTH DAKOTA,68.82632293,DEMOCRAT,North Dakota
2006,OHIO,43.81521762,REPUBLICAN,Ohio
2006,OHIO,56.16413169,DEMOCRAT,Ohio
2006,PENNSYLVANIA,58.63657893,DEMOCRAT,Pennsylvania
2006,PENNSYLVANIA,41.28302495,REPUBLICAN,Pennsylvania
2006,RHODE ISLAND,46.4813646,REPUBLICAN,Rhode Island
2006,RHODE ISLAND,53.5186354,DEMOCRAT,Rhode Island
2006,TENNESSEE,47.98922394,DEMOCRAT,Tennessee
2006,TENNESSEE,50.71241401,REPUBLICAN,Tennessee
2006,TEXAS,36.04457637,DEMOCRAT,Texas
2006,TEXAS,61.69170107,REPUBLICAN,Texas
2006,TEXAS,2.263722567,LIBERTARIAN,Texas
2006,UTAH,0.775139518,LIBERTARIAN,Utah
2006,UTAH,62.36091952,REPUBLICAN,Utah
2006,UTAH,31.06492406,DEMOCRAT,Utah
2006,VERMONT,32.36198598,REPUBLICAN,Vermont
2006,VIRGINIA,49.59431668,DEMOCRAT,Virginia
2006,VIRGINIA,49.20076188,REPUBLICAN,Virginia
2006,WASHINGTON,39.93340801,REPUBLICAN,Washington
2006,WASHINGTON,1.407617287,LIBERTARIAN,Washington
2006,WASHINGTON,56.85269809,DEMOCRAT,Washington
2006,WEST VIRGINIA,77.0490216,DEMOCRAT,West Virginia
2006,WEST VIRGINIA,22.9509784,REPUBLICAN,West Virginia
2006,WISCONSIN,67.30655283,DEMOCRAT,Wisconsin
2006,WISCONSIN,29.47668168,REPUBLICAN,Wisconsin
2006,WYOMING,29.39173865,DEMOCRAT,Wyoming
2006,WYOMING,68.89075759,REPUBLICAN,Wyoming
2008,ALABAMA,36.52044883,DEMOCRAT,Alabama
2008,ALABAMA,63.36223195,REPUBLICAN,Alabama
2008,ALASKA,46.52291461,REPUBLICAN,Alaska
2008,ALASKA,47.76708013,DEMOCRAT,Alaska
2008,ALASKA,0.781498349,LIBERTARIAN,Alaska
2008,ARKANSAS,79.53296948,DEMOCRAT,Arkansas
2008,COLORADO,42.49211171,REPUBLICAN,Colorado
2008,COLORADO,52.79563016,DEMOCRAT,Colorado
2008,DELAWARE,64.68651258,DEMOCRAT,Delaware
2008,DELAWARE,35.31348742,REPUBLICAN,Delaware
2008,GEORGIA,3.409020955,LIBERTARIAN,Georgia
2008,GEORGIA,57.43958248,REPUBLICAN,Georgia
2008,GEORGIA,42.56041752,DEMOCRAT,Georgia
2008,GEORGIA,46.83277881,DEMOCRAT,Georgia
2008,GEORGIA,49.7562815,REPUBLICAN,Georgia
2008,IDAHO,1.544402742,LIBERTARIAN,Idaho
2008,IDAHO,57.65439375,REPUBLICAN,Idaho
2008,IDAHO,34.10512113,DEMOCRAT,Idaho
2008,ILLINOIS,28.53009559,REPUBLICAN,Illinois
2008,ILLINOIS,0.942309439,LIBERTARIAN,Illinois
2008,ILLINOIS,67.84095114,DEMOCRAT,Illinois
2008,IOWA,62.65578029,DEMOCRAT,Iowa
2008,IOWA,37.26124779,REPUBLICAN,Iowa
2008,KANSAS,2.124986578,LIBERTARIAN,Kansas
2008,KANSAS,60.05839645,REPUBLICAN,Kansas
2008,KANSAS,36.45846583,DEMOCRAT,Kansas
2008,KENTUCKY,52.96561957,REPUBLICAN,Kentucky
2008,KENTUCKY,47.03438043,DEMOCRAT,Kentucky
